commune_code,quartier,region,departement,milieu_residence,nb_enfants_0_4,nb_enfants_5_15,nb_adultes_H,nb_adultes_F,taille_menage,statut_occupation,type_habitat,proxy_niveau_vie,proxy_niveau_vie_label,cm_sexe,cm_age,cm_tranche_age,repondant_statut,repondant_est_cm,cm_branche_etudes,cm_niveau_etudes,cm_alpha_francais,cm_alpha_anglais,cm_alpha_arabe,cm_alpha_lng_nat,cm_est_alphabetise,cm_situation_matrimoniale,cm_statut_emploi,cm_secteur_emploi,cm_revenu,src__v1,src__v2,src__v3,src__v4,src__v5,src__v6,src__v7,sources_dechets_liste,nb_sources_dechets,nat__v8,nat__v9,nat__v10,nat__v11,nat__v12,nat__v13,nat__v14,nat__v15,nat__v16,nat__v17,natures_dechets_liste,nb_natures_dechets,mode_stockage,stockage_couvert,place_stockage,capacite_stockage_suffisante,tri_avant_evacuation,revente_dechets,types_revendus_liste,raison_non_revente,proportion_traitee_soi,traitement_enfouissement,traitement_incineration,traitement_recyclage,traitement_compostage,au_moins_un_traitement,acces_benne_tasseuse,benne_service_principal,benne_point_distance,benne_point_nettoyage,benne_heure_convient,benne_frequence,satisfaction_benne,service_alternatif_type,service_alternatif_raison,a_service_alternatif,service_evacuation_payant,montant_evacuation_tranche,frequence_paiement,montant_mensuel_evacuation_fcfa,responsable_evacuation,existence_bacs_quartier,satisfaction_bacs_quartier,corbeilles_rue_presentes,satisfaction_corbeilles_disposition,satisfaction_corbeilles_qualite,acces_depotoire_normalise,depot_sauvage_rue,eaux_usees_rue,depot_sauvage_observe,dernier_depot_sauvage,contact_autorites_depot,satisfaction_reaction_autorites,nuisible__v23,nuisible__v24,nuisible__v25,nuisible__v26,nuisible__v27,nuisible__v28,nuisible__v29,nuisibles_liste,nb_nuisibles,service_balayage_rues,satisfaction_balayage,operations_nettoyage_quartier,place_publique_presence,place_publique_gestionnaire,place_publique_salubrite,marche_present,marche_gestionnaire,marche_gestion_qualite,connait_UCG,campagne_sensibilisation,satisfaction_sensibilisation,duree_quartier_sup_1mois,maladie__v30,maladie__v31,maladie__v32,maladie__v33,maladie__v34,maladie__v35,maladie__v36,maladie__v37,maladie__v38,maladies_declarees_liste,nb_maladies_declarees,aucune_maladie,nb_types_maladies_menage,maladie_potentiellement_liee_dechets,perception_risque_sanitaire,suggestions_amelioration
50,Seydou kasse,,,,2,2,1,2,7.0,Propriétaire,Appartement,2,Moyen-haut,Homme,57,45-59 ans,Fils/Fille du CM,Non,Aucun,Primaire,Oui,Non,Oui,Oui,Oui,,,,,1,1,1,1,1,1,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Élevage | Animaux domestiques | Entretien du logement | Commerce / activités productives,6,1,0,0,1,1,0,1,0,1,0,Plastiques | Vêtements / Tissus | Déchets électroménagers | Métal | Médicaments,5,Poubelle sans couvercle,Oui,Dans la cour,Non,Non,Non,,Pas intéressé,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Proche,Oui,Oui,Irrégulière,Bon,,,Non,,,,0.0,Autre membre féminin adulte,Non,,Non,,,Non,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Plus de 7 jours,Non,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,Non,,Non,Non,,,Oui,Autre,Satisfait / Bon,Oui,Non,,1 mois et plus,1,0,1,0,0,0,0,0,0,Fièvre | Rhume,2,0,2,Non,,Organisé des séances de nettoyage
50,Yembul nord,,,,3,3,5,3,14.0,Propriétaire,Appartement,2,Moyen-haut,Homme,99,60 ans et plus,Frère/Sœur du CM,Non,Aucun,Ne sait pas,Oui,Non,Oui,Oui,Oui,,,,,0,1,0,0,1,0,0,Gestion foyer hors alimentation | Entretien du logement,2,1,0,0,0,0,0,0,0,0,0,Plastiques,1,Coin de la cour / à même le sol,Non,Dans la cour,Oui,Oui,Non,,Pas intéressé,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Proche,Oui,Oui,Régulière,Bon,,,Non,,,,0.0,Autre membre masculin adulte,Non,,Non,,,Non,"Oui, rarement","Oui, rarement","Oui, rarement",,,,1,1,0,0,0,0,0,Moustiques | Mouches,2,Oui,Satisfait / Bon,Oui,Non,,,Oui,Autre,Satisfait / Bon,Oui,Oui,Oui,1 mois et plus,0,0,0,0,0,0,0,1,0,Aucune maladie,0,1,1,Non,,
50,Yembul asecna,,,,2,3,1,3,9.0,Locataire,Chambre(s) en bande,0,Faible,Homme,55,45-59 ans,Chef de ménage,Oui,Aucun,Supérieur,Non,Non,Non,Non,Non,,,,,1,1,1,1,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Élevage | Animaux domestiques | Entretien du logement,5,1,1,0,1,0,0,1,1,1,0,Plastiques | Papier / Carton | Vêtements / Tissus | Métal | Excréments d'animaux | Médicaments,6,Poubelle sans couvercle,Oui,Devant la maison / entrée,Non,Non,Non,,Pas intéressé,Une partie,Non,Non,Non,Oui (partie),Oui,Oui — service utilisé,Oui,Proche,Oui,Oui,Régulière,Très bon,,,Non,,,,0.0,Autre membre féminin enfant,Non,,Non,,,Non,"Non, jamais","Oui, très souvent","Non, jamais",,,,0,0,0,0,0,0,0,,0,Non,,Non,Non,,,Non,,,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,1,0,Aucune maladie,0,1,1,Non,,"Punir ceux ki déversent les ordures 
Élaboré des lois coercitive au niveau régional"
50,Asecna,,,,3,2,0,4,9.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Homme,99,60 ans et plus,Fils/Fille du CM,Non,Aucun,Primaire,Oui,Non,Oui,Oui,Oui,,,,,0,1,1,1,1,0,0,Gestion foyer hors alimentation | Élevage | Animaux domestiques | Entretien du logement,4,1,1,0,0,1,0,1,1,0,0,Plastiques | Papier / Carton | Déchets électroménagers | Métal | Excréments d'animaux,5,Poubelle sans couvercle,Non,Dans la cour,Non,Non,Non,,Pas intéressé,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Proche,Oui,Oui,Régulière,Bon,,,Non,,,,0.0,Femme de ménage,Oui,Satisfait / Bon,Non,,,Oui,"Oui, très souvent","Oui, très souvent","Non, jamais",,,,0,0,0,0,0,0,0,,0,Oui,Satisfait / Bon,Oui,Oui,Aucun gestionnaire identifié,Satisfait / Bon,Oui,Aucun gestionnaire identifié,Satisfait / Bon,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,1,0,Aucune maladie,0,1,1,Non,,Sensibilisation
50,Asecna,,,,0,3,2,7,12.0,Locataire,Chambre(s) en bande,1,Moyen-bas,Homme,99,60 ans et plus,Fils/Fille du CM,Non,Autre,,Ne sait pas,Ne sait pas,Ne sait pas,Ne sait pas,Non,,,,,0,1,0,0,1,0,0,Gestion foyer hors alimentation | Entretien du logement,2,1,1,0,1,0,0,0,0,0,0,Plastiques | Papier / Carton | Vêtements / Tissus,3,Poubelle sans couvercle,Oui,Devant la maison / entrée,Non,Non,Non,,Pas intéressé,Aucune partie,,,,,Non,Non,,,,,,,Charrette / collecteur informel,Moins cher / gratuit,Oui,Oui,Entre 1 001 et 2 000 FCFA,Par mois,1500.0,,Non,,Non,,,Non,"Non, jamais","Oui, très souvent","Non, jamais",,,,1,1,0,1,1,0,0,Moustiques | Mouches | Souris | Vers,4,Oui,Satisfait / Bon,Oui,Non,,,Oui,Autre,Pas satisfait / Mauvais,Non,Non,,1 mois et plus,1,1,0,0,0,0,0,0,0,Fièvre | Asthme,2,0,2,Oui,,Réprimer les récalcitrants
50,Asecna,,,,1,3,0,3,7.0,Locataire,Chambre(s) en bande,0,Faible,Homme,99,60 ans et plus,Père/Mère du CM,Non,Aucun,Ne sait pas,Oui,Ne sait pas,Ne sait pas,Ne sait pas,Oui,,,,,0,1,1,1,1,0,0,Gestion foyer hors alimentation | Élevage | Animaux domestiques | Entretien du logement,4,1,1,0,0,1,0,1,1,0,0,Plastiques | Papier / Carton | Déchets électroménagers | Métal | Excréments d'animaux,5,Poubelle sans couvercle,Non,Dans la cour,Non,Non,Non,,Pas intéressé,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Proche,Oui,Oui,Irrégulière,Bon,,,Non,,,,0.0,Femme de ménage,Non,,Non,,,Non,"Non, jamais","Oui, très souvent","Oui, fréquemment",Plus de 7 jours,Non,,1,1,0,0,0,0,0,Moustiques | Mouches,2,Ne sait pas,,Non,Oui,Autre,Satisfait / Bon,Oui,Autre,Satisfait / Bon,Oui,Non,,1 mois et plus,0,1,0,0,0,0,0,0,0,Asthme,1,0,1,Oui,,"Placé des poubelles dans les rues
Organisé des activités bénévoles"
8,Keur Massar parcelle unité 4,,,,2,5,6,2,15.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Homme,49,45-59 ans,Chef de ménage,Oui,Aucun,Supérieur,Oui,Oui,Oui,Oui,Oui,,,,,1,0,0,0,1,1,0,Consommation alimentaire / cuisine | Entretien du logement | Commerce / activités productives,3,1,1,1,1,0,1,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Déchets verts,5,Poubelle avec couvercle,Oui,Dans la cour,Oui,Non,Non,,Manque de temps,Une partie,Oui (partie),Oui (partie),Non,Non,Oui,Oui — service utilisé,Oui,Acceptable,Oui,Non,Irrégulière,Mauvais,,,Non,,,,0.0,Autre membre féminin adulte,Non,,Non,,,Non,"Oui, très souvent","Oui, rarement","Oui, fréquemment",2 à 7 jours,Non,,1,1,1,1,1,1,0,Moustiques | Mouches | Cafards | Souris | Vers | Rats,6,Non,,Non,Non,,,Non,,,Oui,Non,,1 mois et plus,1,1,1,0,1,1,0,0,0,Fièvre | Asthme | Rhume | Toux | Nausées / Vomissements,5,0,5,Oui,,"Véhicule de ramassage soit régulier, l'UCG nettoie que la voie, mettre des bacs de poubelle."
8,Parcelle unité 4,,,,0,2,2,3,7.0,Propriétaire,Chambre(s) en bande,2,Moyen-haut,Homme,59,45-59 ans,Conjoint(e) du CM,Non,Aucun,Primaire,Oui,Oui,Non,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,1,1,1,0,0,0,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments,3,Coin de la cour / à même le sol,Oui,Devant la maison / entrée,Non,Non,Non,,Pas intéressé,Une partie,Non,Oui (partie),Non,Non,Oui,Non,,,,,,,Charrette / collecteur informel,Moins cher / gratuit,Oui,Oui,Entre 200 et 400 FCFA,Par semaine,1299.0,,Non,,Non,,,Non,"Oui, très souvent","Oui, rarement","Oui, fréquemment",Moins de 2 jours,Non,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,Non,,Oui,Non,,,Non,,,Oui,Oui,Non,1 mois et plus,0,0,1,0,1,0,0,0,0,Rhume | Toux,2,0,2,Oui,,"Mettre des bacs à ordures, les camions poubelles passent au moins chaque semaine."
8,Parcelle unité 4,,,,2,3,2,3,10.0,Propriétaire,Chambre(s) en bande,2,Moyen-haut,Homme,60,60 ans et plus,Conjoint(e) du CM,Non,Aucun,Supérieur,Oui,Oui,Non,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,1,1,1,1,0,0,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus,4,Poubelle avec couvercle,Oui,Autre,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Non,,,,,,,Charrette / collecteur informel,Seul service disponible,Oui,Oui,Entre 1 001 et 2 000 FCFA,Par mois,1500.0,,Non,,Oui,Satisfait / Bon,Satisfait / Bon,Oui,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Moins de 2 jours,Non,,1,1,1,1,0,0,0,Moustiques | Mouches | Cafards | Souris,4,Non,,Non,Non,,,Non,,,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,1,0,Aucune maladie,0,1,1,Non,,Les acteurs doivent le  faire.
8,Parcelle unité 4,,,,0,1,2,4,7.0,Propriétaire,Appartement,3,Élevé,Homme,49,45-59 ans,Conjoint(e) du CM,Non,Français,,Oui,Non,Oui,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,1,1,1,0,0,0,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments,3,Poubelle avec couvercle,Oui,Dans la cour,Non,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Non,,,,,,,Charrette / collecteur informel,Seul service disponible,Oui,Oui,Entre 1 001 et 2 000 FCFA,Par mois,1500.0,,Non,,Non,,,Non,"Oui, rarement","Non, jamais","Oui, rarement",,,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,Oui,Satisfait / Bon,Oui,Non,,,Non,,,Non,Non,,1 mois et plus,0,0,0,0,0,0,0,1,0,Aucune maladie,0,1,1,Non,,Passage des camions benne de façon régulière pour ramasser les ordures.
8,Parcelle unité 4,,,,2,0,5,2,9.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Homme,45,45-59 ans,Fils/Fille du CM,Non,Franco-arabe,Ne sait pas,Oui,Oui,Oui,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,1,0,1,0,0,0,0,0,0,0,Plastiques | Restes d'aliments,2,Poubelle avec couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,La totalité,Oui (partie),Oui (partie),Non,Non,Oui,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Oui, très souvent","Oui, rarement","Oui, fréquemment",Moins de 2 jours,Non,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,Non,,Oui,Non,,,Non,,,Non,Non,,1 mois et plus,0,0,0,0,0,0,0,1,0,Aucune maladie,0,1,1,Non,,"Organiser des setsetal, deploiyer des camions poubelles."
8,Parcelle unité 4,,,,4,5,1,3,13.0,Propriétaire,Chambre(s) en bande,2,Moyen-haut,Homme,46,45-59 ans,Conjoint(e) du CM,Non,Aucun,Supérieur,Oui,Oui,Oui,Oui,Oui,,,,,1,1,0,1,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Animaux domestiques | Entretien du logement,4,1,1,1,1,0,0,0,1,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Excréments d'animaux,5,Coin de la cour / à même le sol,Oui,Devant la maison / entrée,Non,Non,Non,,Pas connaissance,Une partie,Non,Oui (partie),Non,Non,Oui,Non,,,,,,,Charrette / collecteur informel,Moins cher / gratuit,Oui,Oui,Entre 1 001 et 2 000 FCFA,Par mois,1500.0,,Non,,Non,,,Non,"Oui, très souvent","Oui, rarement","Oui, fréquemment",2 à 7 jours,Non,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,Oui,Satisfait / Bon,Oui,Non,,,Non,,,Non,Non,,1 mois et plus,1,0,1,1,1,1,1,0,0,Fièvre | Rhume | Sinusite | Toux | Nausées / Vomissements | Démangeaisons,6,0,6,Oui,,Déployer des camions poubelles.
8,Parcelle unité 4,,,,4,2,0,3,9.0,Propriétaire,Appartement,3,Élevé,Homme,80,60 ans et plus,Conjoint(e) du CM,Non,Français,,Non,Non,Oui,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,0,1,1,0,0,0,1,0,0,0,Papier / Carton | Restes d'aliments | Métal,3,Poubelle avec couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Non,,,,,,,Charrette / collecteur informel,Moins cher / gratuit,Oui,Oui,Entre 1 001 et 2 000 FCFA,Par mois,1500.0,,Non,,Non,,,Non,"Oui, très souvent","Oui, rarement","Oui, fréquemment",Moins de 2 jours,Non,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,Non,,Non,Non,,,Non,,,Non,Non,,1 mois et plus,0,0,0,1,1,0,0,0,0,Sinusite | Toux,2,0,2,Oui,,Déployer des camions poubelles.
8,PENITASSE,,,,0,0,1,3,4.0,Propriétaire,Appartement,2,Moyen-haut,Homme,60,60 ans et plus,Conjoint(e) du CM,Non,Aucun,Supérieur,Oui,Oui,Non,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,1,1,1,0,0,0,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments,3,Coin de la cour / à même le sol,Oui,Dans la cour,Non,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Proche,Oui,Oui,Régulière,Bon,,,Non,,,,0.0,Femme de ménage,Non,,Non,,,Non,"Non, jamais","Oui, rarement","Non, jamais",,,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,Non,,Oui,Non,,,Non,,,Non,Non,,1 mois et plus,0,0,0,0,0,0,0,1,0,Aucune maladie,0,1,1,Non,,Augmenter le nombre de camion.
8,Cité PENITANCE,,,,3,3,4,1,11.0,Propriétaire,Appartement,2,Moyen-haut,Homme,67,60 ans et plus,Conjoint(e) du CM,Non,Aucun,Secondaire,Oui,Non,Non,Oui,Oui,,,,,1,1,1,1,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Élevage | Animaux domestiques | Entretien du logement,5,1,1,1,0,0,0,0,1,0,0,Plastiques | Papier / Carton | Restes d'aliments | Excréments d'animaux,4,Coin de la cour / à même le sol,Non,Devant la maison / entrée,Non,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Acceptable,Oui,Non,Régulière,Bon,,,Non,,,,0.0,Femme de ménage,Non,,Non,,,Non,"Oui, rarement","Oui, rarement","Oui, rarement",,,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,Non,,Oui,Non,,,Non,,,Non,Non,,1 mois et plus,0,0,0,0,0,0,0,1,0,Aucune maladie,0,1,1,Non,,Faire régulièrement des activités de setsetal.
50,SEYDOU KASSE,,,,3,8,5,6,22.0,Propriétaire,Appartement,2,Moyen-haut,Femme,66,60 ans et plus,Fils/Fille du CM,Non,Aucun,Ne sait pas,Ne sait pas,Ne sait pas,Ne sait pas,Oui,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation,2,1,1,0,1,0,0,0,0,0,0,Plastiques | Papier / Carton | Vêtements / Tissus,3,Poubelle sans couvercle,Non,Dans la cour,Oui,Oui,Oui,Ferraille,,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Acceptable,Oui,Oui,Régulière,Bon,,,Non,,,,0.0,Autre membre féminin enfant,Non,,Non,,,Non,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Moins de 2 jours,Oui,Pas du tout satisfait / Très mauvais,1,1,0,0,0,0,0,Moustiques | Mouches,2,Oui,Satisfait / Bon,Oui,Non,,,Oui,Aucun gestionnaire identifié,Pas satisfait / Mauvais,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,VENIR CHAQUE JOUR
8,Cité PENITANCE,,,,0,0,2,2,4.0,Locataire,Appartement,1,Moyen-bas,Homme,99,60 ans et plus,Fils/Fille du CM,Non,Aucun,Ne sait pas,Oui,Ne sait pas,Ne sait pas,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,1,1,1,0,0,0,1,0,0,0,Plastiques | Papier / Carton | Restes d'aliments | Métal,4,Poubelle avec couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Acceptable,Oui,Oui,Régulière,Bon,,,Non,,,,0.0,Autre membre féminin adulte,Non,,Non,,,Non,"Oui, rarement","Oui, rarement","Oui, rarement",,,,0,1,0,0,0,0,0,Mouches,1,Non,,Oui,Non,,,Non,,,Non,Non,,1 mois et plus,0,0,0,0,0,0,0,1,0,Aucune maladie,0,1,1,Non,,Ras.
50,YEUMBEUL ASECNA,,,,0,0,1,1,2.0,Locataire,Baraque / Habitat précaire,0,Faible,Homme,52,45-59 ans,Conjoint(e) du CM,Non,Aucun,Secondaire,Oui,Ne sait pas,Oui,Oui,Oui,,,,,1,0,0,0,0,0,0,Consommation alimentaire / cuisine,1,0,0,1,0,0,0,0,0,0,0,Restes d'aliments,1,Poubelle sans couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Acceptable,Oui,Non,Régulière,Bon,,,Non,,,,0.0,Conjoint du CM,Non,,Non,,,Non,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Moins de 2 jours,Non,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,Non,,Non,Oui,UCG,Satisfait / Bon,Non,,,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,AUGMENTER LA FREQUENCE DE PASSAGE
50,SEYDOU KASSE,,,,1,2,2,4,9.0,Propriétaire,Appartement,2,Moyen-haut,Femme,76,60 ans et plus,Chef de ménage,Oui,Franco-arabe,Primaire,Non,Non,Oui,Oui,Oui,,,,,1,1,0,1,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Animaux domestiques,3,1,1,0,0,0,0,0,0,0,0,Plastiques | Papier / Carton,2,Coin de la cour / à même le sol,Oui,Dans la cour,Oui,Oui,Oui,Ferraille,,Une partie,Non,Oui (partie),Non,Non,Oui,Oui — service utilisé,Oui,Acceptable,Oui,Oui,Régulière,Bon,,,Non,,,,0.0,Chef de ménage,Non,,Non,,,Non,"Oui, très souvent","Oui, rarement","Non, jamais",,,,0,0,0,0,0,0,1,Autre,1,Oui,Satisfait / Bon,Non,Oui,UCG,Satisfait / Bon,Oui,Autre,Satisfait / Bon,Oui,Non,,1 mois et plus,1,0,0,0,0,0,0,0,1,Fièvre | Autre maladie,2,0,2,Non,,AUGMENTER LES CAMIONS
50,SEYDOU KASSE,,,,1,9,1,0,11.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Homme,47,45-59 ans,Conjoint(e) du CM,Non,Aucun,Supérieur,Oui,Ne sait pas,Ne sait pas,Oui,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation,2,1,1,0,0,0,0,0,0,0,0,Plastiques | Papier / Carton,2,Poubelle sans couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Acceptable,Oui,Oui,Régulière,Bon,,,Non,,,,0.0,Conjoint du CM,Non,,Non,,,Non,"Oui, très souvent","Oui, très souvent","Non, jamais",,,,0,0,0,0,0,0,1,Autre,1,Non,,Non,Oui,UCG,Satisfait / Bon,Oui,Mairie,Satisfait / Bon,Oui,Non,,1 mois et plus,0,0,1,0,0,0,0,0,0,Rhume,1,0,1,Non,,AUGMENTER LA FREQUENCE
50,SEYDOU KASSE,,,,1,3,3,2,9.0,Propriétaire,Appartement,2,Moyen-haut,Femme,80,60 ans et plus,Autre personne non apparentée,Non,Franco-arabe,Primaire,Non,Non,Non,Oui,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation,2,1,1,0,0,0,0,0,0,0,0,Plastiques | Papier / Carton,2,Poubelle sans couvercle,Non,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Acceptable,Oui,Oui,Régulière,Bon,,,Non,,,,0.0,Autre membre féminin enfant,Non,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,0,0,0,0,0,0,0,,0,Non,,Non,Non,,,Oui,Autre,Satisfait / Bon,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,1,0,Aucune maladie,0,1,1,Non,,RIEN À DIRE
50,SEYDOU KASSE,,,,1,5,1,1,8.0,Propriétaire,Appartement,2,Moyen-haut,Homme,40,35-44 ans,Conjoint(e) du CM,Non,Coranique / Daara,,Non,Non,Oui,Oui,Oui,,,,,1,1,0,1,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Animaux domestiques,3,1,1,0,0,0,0,0,1,0,0,Plastiques | Papier / Carton | Excréments d'animaux,3,Poubelle sans couvercle,Non,Dans la cour,Oui,Non,Oui,Ferraille,,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Proche,Oui,Oui,Régulière,Bon,,,Non,,,,0.0,Autre membre féminin enfant,Non,,Non,,,Non,"Non, jamais","Oui, très souvent","Non, jamais",,,,0,0,0,0,0,0,0,,0,Non,,Non,Non,,,Oui,Autre,Satisfait / Bon,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,RIEN À DIRE
50,SEYDOU KASSE,,,,5,2,1,3,11.0,Locataire,Baraque / Habitat précaire,0,Faible,Homme,99,60 ans et plus,Conjoint(e) du CM,Non,Franco-arabe,Primaire,Non,Non,Oui,Oui,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation,2,1,1,0,0,0,0,0,0,0,0,Plastiques | Papier / Carton,2,Poubelle sans couvercle,Non,Devant la maison / entrée,Non,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Acceptable,Oui,Oui,Régulière,Bon,,,Non,,,,0.0,Autre membre féminin enfant,Non,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,0,0,0,0,0,0,0,,0,Oui,Satisfait / Bon,Oui,Non,,,Oui,Autre,Satisfait / Bon,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,RIEN À DIRE
50,SEYDOU KASSE,,,,0,3,2,3,8.0,Propriétaire,Appartement,2,Moyen-haut,Homme,40,35-44 ans,Père/Mère du CM,Non,Franco-arabe,Primaire,Non,Non,Oui,Oui,Oui,,,,,1,1,0,1,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Animaux domestiques,3,1,1,0,0,0,0,0,1,0,0,Plastiques | Papier / Carton | Excréments d'animaux,3,Poubelle sans couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas connaissance,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Éloignée,Oui,Oui,Irrégulière,Bon,,,Non,,,,0.0,Conjoint du CM,Non,,Non,,,Non,"Non, jamais","Oui, très souvent","Non, jamais",,,,0,0,0,0,0,0,0,,0,Non,,Oui,Non,,,Non,,,Oui,Non,,1 mois et plus,1,0,0,0,0,0,0,0,0,Fièvre,1,0,1,Non,,AUGMENTER LA FREQUENTATION
50,SEYDOU KASSE,,,,0,4,3,1,8.0,Propriétaire,Appartement,2,Moyen-haut,Homme,65,60 ans et plus,Chef de ménage,Oui,Aucun,Primaire,Oui,Non,Oui,Oui,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation,2,1,1,0,0,0,0,0,0,0,0,Plastiques | Papier / Carton,2,Poubelle sans couvercle,Oui,Dans la cour,Oui,Oui,Non,,Pas connaissance,Aucune partie,,,,,Non,Oui — service utilisé,Oui,Acceptable,Oui,Non,Irrégulière,Bon,,,Non,,,,0.0,Autre membre féminin enfant,Non,,Non,,,Non,"Oui, très souvent","Oui, très souvent","Non, jamais",,,,0,0,0,0,0,0,0,,0,Non,,Non,Non,,,Oui,Autre entité publique,Pas satisfait / Mauvais,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,QUE LES BENNES PASSENT À PARTIR DE 10 HEURES
